"country","variable","year","forecast","lo80","hi80","lo95","hi95","train_end_used","actual","error","abs_error"
"Portugal","Defence",2020,0.848114195176402,0.606968043191566,1.08926034716124,0.479312981391571,1.21691540896123,2019,0.8,-0.0481141951764015,0.0481141951764015
"Portugal","Defence",2021,0.874498526745784,0.578925722409056,1.17007133108251,0.422458931239293,1.32653812225227,2019,0.8,-0.074498526745784,0.074498526745784
"Portugal","Defence",2022,0.873316710624382,0.553930071747965,1.1927033495008,0.384856998060992,1.36177642318777,2019,0.8,-0.0733167106243818,0.0733167106243818
"Portugal","Defence",2023,0.873369646941572,0.531027227271221,1.21571206661192,0.349802097282304,1.39693719660084,2019,0.8,-0.073369646941572,0.073369646941572
"Romania","Defence",2020,1.68019167788499,1.15824425354424,2.20213910222574,0.881941977260115,2.47844137850986,2019,2.3,0.619808322115014,0.619808322115014
"Romania","Defence",2021,1.69512015999162,0.870671756233859,2.51956856374938,0.434235134432724,2.95600518555052,2019,1.9,0.20487984000838,0.20487984000838
"Romania","Defence",2022,1.68327190896211,0.680422630535545,2.68612118738867,0.149546290357932,3.21699752756628,2019,1.8,0.116728091037893,0.116728091037893
"Romania","Defence",2023,1.69267548070206,0.511362428556706,2.87398853284742,-0.113986926743146,3.49933788814727,2019,1.7,0.00732451929793831,0.00732451929793831
"Slovakia","Defence",2020,1.18038881879584,0.843176571978619,1.51760106561306,0.664667191452096,1.69611044613958,2019,1.2,0.0196111812041606,0.0196111812041606
"Slovakia","Defence",2021,1.182361849026,0.804753268789693,1.55997042926231,0.604859361092978,1.75986433695902,2019,1.4,0.217638150973999,0.217638150973999
"Slovakia","Defence",2022,1.18154517996187,0.776030443544073,1.58705991637968,0.561363909111963,1.80172645081178,2019,1,-0.181545179961874,0.181545179961874
"Slovakia","Defence",2023,1.18188321247152,0.747044984778922,1.61672144016411,0.516855531734739,1.84691089320829,2019,1.2,0.0181167875284836,0.0181167875284836
"Slovenia","Defence",2020,1.03056574240365,0.899804830637323,1.16132665416998,0.830584185252095,1.23054729955521,2019,1.1,0.0694342575963474,0.0694342575963474
